italian,english,display_name
arancia,orange,Orange
arrosto,roast_meat,Roast meat
arrosto_di_vitello,roast_veal,Roast veal
banane,banana,Banana
bruscitt,bruscitt_beef_stew,Bruscitt (Lombard minced beef stew)
budino,pudding,Pudding
carote,carrots,Carrots
cavolfiore,cauliflower,Cauliflower
cibo_bianco_non_identificato,unidentified_white_food,Unidentified white food
cotoletta,breaded_cutlet,Breaded cutlet
fagiolini,green_beans,Green beans
finocchi_gratinati,fennel_au_gratin,Fennel au gratin
finocchi_in_umido,stewed_fennel,Stewed fennel
guazzetto_di_calamari,squid_tomato_stew,Squid in tomato stew
insalata_mista,mixed_salad,Mixed salad
lasagna_alla_bolognese,lasagna_bolognese,Lasagna Bolognese
mandarini,mandarins,Mandarins
medaglioni_di_carne,meat_medallions,Meat medallions
mele,apples,Apples
merluzzo_alle_olive,cod_with_olives,Cod with olives
minestra_lombarda,lombard_vegetable_soup,Lombard vegetable soup
orecchiette__ragu,orecchiette_ragu,Orecchiette with ragu
pane,bread,Bread
passato_alla_piemontese,piedmontese_puree_soup,Piedmontese puree soup
pasta_bianco,plain_pasta,Plain pasta
pasta_cozze_e_vongole,pasta_mussels_clams,Pasta with mussels and clams
pasta_e_ceci,pasta_chickpeas,Pasta with chickpeas
pasta_e_fagioli,pasta_beans,Pasta with beans
pasta_mare_e_monti,pasta_surf_and_turf,Surf-and-turf pasta
pasta_pancetta_e_zucchine,pasta_pancetta_zucchini,Pasta with pancetta and zucchini
pasta_pesto_besciamella_e_cornetti,pasta_pesto_bechamel_green_beans,"Pasta with pesto, bechamel and green beans"
pasta_ricotta_e_salsiccia,pasta_ricotta_sausage,Pasta with ricotta and sausage
pasta_sugo,pasta_tomato_sauce,Pasta with tomato sauce
pasta_sugo_pesce,pasta_fish_sauce,Pasta with fish sauce
pasta_sugo_vegetariano,pasta_vegetarian_sauce,Pasta with vegetarian sauce
pasta_tonno,pasta_tuna,Pasta with tuna
pasta_tonno_e_piselli,pasta_tuna_peas,Pasta with tuna and peas
pasta_zafferano_e_piselli,pasta_saffron_peas,Pasta with saffron and peas
patate_pure,mashed_potatoes,Mashed potatoes
patate_pure_prosciutto,mashed_potatoes_ham,Mashed potatoes with ham
patatine_fritte,french_fries,French fries
pere,pears,Pears
pesce_2__filetto,fish_fillet_2,Fish fillet (type 2)
pesce__filetto,fish_fillet,Fish fillet
piselli,peas,Peas
pizza,pizza,Pizza
pizzoccheri,pizzoccheri,Pizzoccheri (buckwheat pasta)
polpette_di_carne,meatballs,Meatballs
riso_bianco,white_rice,White rice
riso_sugo,rice_tomato_sauce,Rice with tomato sauce
roastbeef,roast_beef,Roast beef
rosbeef,roast_beef_alt,Roast beef (alt. label)
salmone__da_menu_sembra_spada_in_realta,salmon_looks_like_swordfish,Salmon (menu; looks like swordfish)
scaloppine,scaloppine,Scaloppine
spinaci,spinach,Spinach
stinco_di_maiale,pork_shank,Pork shank
torta_crema,custard_cake,Custard cake
torta_crema_2,custard_cake_2,Custard cake (type 2)
torta_salata_3,savory_pie_3,Savory pie (type 3)
torta_salata__alla_valdostana,savory_pie_valdostana,Aosta Valley savory pie
torta_salata_rustica__zucchine,rustic_zucchini_pie,Rustic zucchini pie
torta_salata_spinaci_e_ricotta,spinach_ricotta_pie,Spinach and ricotta pie
yogurt,yogurt,Yogurt
zucchine_impanate,breaded_zucchini,Breaded zucchini
zucchine_umido,stewed_zucchini,Stewed zucchini
